period,level,side,events,successes,excellent_proxy_rate,median_cover_ms,median_mfe_15,median_mae_15,median_mfe_60
earlier,classic_pivot,long,65,8,0.12307692307692308,1721.0,0.5,0.5500000000001819,0.9200000000000728
earlier,classic_pivot,short,51,6,0.11764705882352941,1870.5,0.2600000000002183,0.819999999999709,0.8800000000001091
earlier,opening_range_high,long,76,6,0.07894736842105263,2211.0,0.32999999999992724,1.2699999999999818,1.6849999999999454
earlier,opening_range_high,short,72,12,0.16666666666666666,1920.0,0.6999999999998181,1.0199999999999818,1.4250000000006366
earlier,opening_range_low,long,101,19,0.18811881188118812,1471.0,0.8899999999994179,1.180000000000291,2.469999999999345
earlier,opening_range_low,short,96,14,0.14583333333333334,2022.0,0.8850000000002183,1.3600000000001273,2.144999999999982
earlier,previous_close,long,120,18,0.15,2034.0,0.32500000000027285,0.7350000000001273,0.9200000000005275
earlier,previous_close,short,122,19,0.1557377049180328,1577.0,0.28500000000030923,0.7849999999998545,0.8550000000004729
earlier,previous_high,long,54,16,0.2962962962962963,1166.0,1.099999999999909,0.6050000000004729,2.6799999999998363
earlier,previous_high,short,50,5,0.1,2125.0,0.2600000000002183,1.3150000000000546,0.6749999999997272
earlier,previous_low,long,91,11,0.12087912087912088,1356.0,1.550000000000182,2.130000000000109,4.079999999999927
earlier,previous_low,short,90,12,0.13333333333333333,1434.0,1.5099999999997635,2.0900000000001455,3.450000000000273
earlier,previous_midrange,long,56,5,0.08928571428571429,2135.0,0.6449999999995271,0.8250000000007276,1.5700000000001637
earlier,previous_midrange,short,46,9,0.1956521739130435,2680.0,0.22499999999990905,0.8299999999999272,0.7800000000002001
earlier,quote_average,long,270,48,0.17777777777777778,1728.0,0.44000000000005457,1.0399999999999636,1.5349999999998545
earlier,quote_average,short,277,45,0.1624548736462094,1890.0,0.410000000000764,0.930000000000291,1.3499999999994543
earlier,resistance_1,long,69,10,0.14492753623188406,2331.0,0.5299999999997453,0.9500000000007276,1.569999999999709
earlier,resistance_1,short,71,6,0.08450704225352113,2967.5,0.3499999999994543,1.1500000000005457,0.75
earlier,session_open,long,125,19,0.152,2065.0,0.2600000000002183,0.819999999999709,1.5
earlier,session_open,short,120,19,0.15833333333333333,1577.0,0.375,0.9799999999995634,1.1749999999997272
earlier,support_1,long,60,12,0.2,1401.5,1.2449999999998909,1.5700000000001637,3.994999999999891
earlier,support_1,short,59,10,0.1694915254237288,1557.0,0.8900000000003274,2.160000000000764,2.9399999999996
later,classic_pivot,long,72,8,0.1111111111111111,3486.0,0.3350000000004911,0.8049999999998363,1.0299999999997453
later,classic_pivot,short,76,11,0.14473684210526316,3308.5,0.19499999999970896,0.8449999999997999,0.9949999999998909
later,opening_range_high,long,50,4,0.08,4204.0,0.5749999999998181,1.3150000000000546,1.5300000000002
later,opening_range_high,short,59,11,0.1864406779661017,1609.0,0.42000000000007276,1.069999999999709,1.5900000000001455
later,opening_range_low,long,49,5,0.10204081632653061,2980.0,0.0999999999994543,0.9099999999998545,0.680000000000291
later,opening_range_low,short,55,11,0.2,1876.5,0.21000000000003638,0.8000000000001819,1.3200000000006185
later,previous_close,long,20,4,0.2,3132.0,0.5700000000001637,0.7149999999996908,1.8049999999998363
later,previous_close,short,22,1,0.045454545454545456,3641.5,0.01999999999998181,1.3800000000005639,0.6449999999995271
later,previous_high,long,32,4,0.125,1908.5,0.6399999999998727,0.8200000000001637,1.4299999999993815
later,previous_high,short,31,6,0.1935483870967742,2327.0,0.3899999999994179,0.9700000000002547,1.1899999999995998
later,previous_low,long,2,0,0.0,10913.0,1.7449999999998909,1.4100000000003092,3.7200000000002547
later,previous_low,short,3,0,0.0,1817.0,0.3900000000003274,1.6700000000000728,5.230000000000473
later,previous_midrange,long,109,18,0.1651376146788991,2295.0,0.4499999999998181,0.7899999999999636,1.0100000000002183
later,previous_midrange,short,105,12,0.11428571428571428,2612.0,0.27000000000043656,0.8999999999996362,0.8400000000001455
later,quote_average,long,196,28,0.14285714285714285,2419.5,0.3049999999998363,0.8250000000002728,0.9049999999997453
later,quote_average,short,200,25,0.125,1947.0,0.21000000000049113,0.8649999999997817,1.0099999999997635
later,resistance_1,long,47,6,0.1276595744680851,1848.5,0.24000000000069122,0.8699999999998909,0.8800000000001091
later,resistance_1,short,42,5,0.11904761904761904,2538.0,0.375,0.7800000000002001,1.1100000000001273
later,session_open,long,35,5,0.14285714285714285,1834.0,0.680000000000291,0.8800000000001091,2.139999999999418
later,session_open,short,39,3,0.07692307692307693,2630.5,0.1000000000003638,1.5100000000002183,0.7299999999995634
later,support_1,long,7,1,0.14285714285714285,696.5,0.7699999999995271,3.100000000000364,3.8499999999994543
later,support_1,short,6,0,0.0,788.5,0.8899999999998727,4.224999999999909,7.474999999999454
