anchor,period,band_stdev,slope_seconds,side,events,successes,excellent_proxy_rate,cover_5s_rate,median_mfe_15,median_mae_15
broker_day,earlier,0.0,60,long,34,7,0.20588235294117646,0.47058823529411764,0.555000000000291,0.6549999999997453
broker_day,earlier,0.0,60,short,41,9,0.21951219512195122,0.5365853658536586,0.3500000000003638,0.569999999999709
broker_day,earlier,0.0,300,long,35,7,0.2,0.45714285714285713,0.3999999999996362,0.7600000000002183
broker_day,earlier,0.0,300,short,37,9,0.24324324324324326,0.5135135135135135,0.3500000000003638,0.6700000000000728
broker_day,earlier,0.0,900,long,38,6,0.15789473684210525,0.4473684210526316,0.38999999999987267,0.724999999999909
broker_day,earlier,0.0,900,short,31,7,0.22580645161290322,0.5161290322580645,0.3300000000008367,0.7100000000000364
broker_day,earlier,0.5,60,long,1,1,1.0,1.0,1.480000000000473,0.1300000000001091
broker_day,earlier,0.5,60,short,2,0,0.0,0.5,0.27499999999963615,1.0050000000001091
broker_day,earlier,0.5,300,long,4,1,0.25,0.25,0.650000000000091,0.6100000000001273
broker_day,earlier,0.5,300,short,5,1,0.2,0.6,0.4699999999993451,0.9099999999998544
broker_day,earlier,0.5,900,long,5,1,0.2,0.4,0.2799999999997453,0.6199999999998909
broker_day,earlier,0.5,900,short,6,0,0.0,0.5,0.1649999999999636,0.6600000000003092
broker_day,earlier,1.0,60,long,0,0,,,,
broker_day,earlier,1.0,60,short,2,0,0.0,0.5,0.13499999999976353,0.7800000000002001
broker_day,earlier,1.0,300,long,0,0,,,,
broker_day,earlier,1.0,300,short,2,1,0.5,0.5,0.4299999999998363,0.6100000000001273
broker_day,earlier,1.0,900,long,1,0,0.0,0.0,0.2100000000000363,0.6399999999994179
broker_day,earlier,1.0,900,short,2,0,0.0,0.5,0.2549999999996544,0.6649999999999636
broker_day,earlier,1.5,60,long,0,0,,,,
broker_day,earlier,1.5,60,short,0,0,,,,
broker_day,earlier,1.5,300,long,4,0,0.0,0.25,-0.2000000000002728,3.5950000000002547
broker_day,earlier,1.5,300,short,0,0,,,,
broker_day,earlier,1.5,900,long,5,0,0.0,0.2,-0.2899999999999636,3.819999999999709
broker_day,earlier,1.5,900,short,1,0,0.0,0.0,-1.309999999999491,2.019999999999527
broker_day,earlier,2.0,60,long,0,0,,,,
broker_day,earlier,2.0,60,short,0,0,,,,
broker_day,earlier,2.0,300,long,2,0,0.0,0.0,-0.24000000000023647,3.255000000000109
broker_day,earlier,2.0,300,short,1,0,0.0,1.0,0.0699999999997089,0.3500000000003638
broker_day,earlier,2.0,900,long,4,0,0.0,0.0,-0.1449999999999818,0.9149999999999636
broker_day,earlier,2.0,900,short,2,0,0.0,0.5,-0.045000000000072746,0.3649999999997817
broker_day,later,0.0,60,long,20,4,0.2,0.4,0.4099999999998545,0.38000000000010914
broker_day,later,0.0,60,short,29,2,0.06896551724137931,0.2413793103448276,-0.1199999999998908,1.0100000000002185
broker_day,later,0.0,300,long,15,2,0.13333333333333333,0.4666666666666667,0.3699999999998908,0.4200000000000727
broker_day,later,0.0,300,short,27,1,0.037037037037037035,0.2222222222222222,-0.1400000000003274,1.059999999999491
broker_day,later,0.0,900,long,12,1,0.08333333333333333,0.5833333333333334,0.3850000000002183,0.4750000000003638
broker_day,later,0.0,900,short,30,2,0.06666666666666667,0.26666666666666666,-0.099999999999909,0.9200000000000728
broker_day,later,0.5,60,long,3,0,0.0,0.3333333333333333,-0.019999999999527,0.5399999999999636
broker_day,later,0.5,60,short,1,0,0.0,0.0,0.2700000000004365,0.269999999999527
broker_day,later,0.5,300,long,8,1,0.125,0.375,0.19000000000050934,0.6749999999997272
broker_day,later,0.5,300,short,3,1,0.3333333333333333,0.3333333333333333,0.2700000000004365,0.269999999999527
broker_day,later,0.5,900,long,9,2,0.2222222222222222,0.5555555555555556,0.4400000000005093,0.1099999999996725
broker_day,later,0.5,900,short,6,2,0.3333333333333333,0.5,1.3649999999997817,0.4849999999996726
broker_day,later,1.0,60,long,1,0,0.0,0.0,-0.019999999999527,0.8099999999994907
broker_day,later,1.0,60,short,1,0,0.0,0.0,-0.089999999999236,0.4699999999993451
broker_day,later,1.0,300,long,1,0,0.0,0.0,-0.019999999999527,0.8099999999994907
broker_day,later,1.0,300,short,0,0,,,,
broker_day,later,1.0,900,long,2,0,0.0,0.5,0.2300000000000182,1.1050000000000182
broker_day,later,1.0,900,short,0,0,,,,
broker_day,later,1.5,60,long,0,0,,,,
broker_day,later,1.5,60,short,0,0,,,,
broker_day,later,1.5,300,long,2,0,0.0,0.0,-0.2999999999997271,1.2699999999999818
broker_day,later,1.5,300,short,0,0,,,,
broker_day,later,1.5,900,long,3,1,0.3333333333333333,0.3333333333333333,-0.1599999999998544,0.8599999999996726
broker_day,later,1.5,900,short,1,0,0.0,0.0,-0.0100000000002182,0.4899999999997817
broker_day,later,2.0,60,long,0,0,,,,
broker_day,later,2.0,60,short,0,0,,,,
broker_day,later,2.0,300,long,1,0,0.0,0.0,-0.4399999999995998,1.680000000000291
broker_day,later,2.0,300,short,0,0,,,,
broker_day,later,2.0,900,long,1,0,0.0,0.0,-0.4399999999995998,1.680000000000291
broker_day,later,2.0,900,short,1,0,0.0,0.0,-0.1699999999991632,0.4799999999995634
utc_day,earlier,0.0,60,long,46,8,0.17391304347826086,0.5217391304347826,0.43499999999994543,0.694999999999709
utc_day,earlier,0.0,60,short,45,7,0.15555555555555556,0.4666666666666667,0.2899999999999636,0.7600000000002183
utc_day,earlier,0.0,300,long,49,8,0.16326530612244897,0.5102040816326531,0.1900000000005093,0.7199999999993452
utc_day,earlier,0.0,300,short,43,7,0.16279069767441862,0.4418604651162791,0.1700000000000727,0.6700000000000728
utc_day,earlier,0.0,900,long,49,9,0.1836734693877551,0.4897959183673469,0.25,0.6899999999995998
utc_day,earlier,0.0,900,short,30,4,0.13333333333333333,0.43333333333333335,0.05499999999983625,0.8600000000001273
utc_day,earlier,0.5,60,long,4,1,0.25,0.25,1.0900000000006003,0.8449999999997999
utc_day,earlier,0.5,60,short,2,0,0.0,0.5,2.3649999999997817,1.025000000000091
utc_day,earlier,0.5,300,long,10,2,0.2,0.3,1.0900000000006003,0.7399999999997817
utc_day,earlier,0.5,300,short,4,0,0.0,0.25,0.14499999999998175,0.875
utc_day,earlier,0.5,900,long,13,2,0.15384615384615385,0.38461538461538464,0.7000000000007276,0.7300000000004729
utc_day,earlier,0.5,900,short,8,0,0.0,0.25,-4.547499529716781e-13,0.7649999999998727
utc_day,earlier,1.0,60,long,3,0,0.0,0.3333333333333333,0.1999999999998181,1.0399999999999636
utc_day,earlier,1.0,60,short,3,0,0.0,0.3333333333333333,0.0,0.7100000000000364
utc_day,earlier,1.0,300,long,5,0,0.0,0.4,0.1999999999998181,1.0399999999999636
utc_day,earlier,1.0,300,short,4,1,0.25,0.25,0.4499999999998181,0.6849999999999454
utc_day,earlier,1.0,900,long,9,1,0.1111111111111111,0.4444444444444444,0.2100000000000363,0.6399999999994179
utc_day,earlier,1.0,900,short,6,0,0.0,0.5,0.5850000000000364,0.805000000000291
utc_day,earlier,1.5,60,long,1,0,0.0,0.0,-0.4400000000005093,1.0399999999999636
utc_day,earlier,1.5,60,short,0,0,,,,
utc_day,earlier,1.5,300,long,5,0,0.0,0.2,-0.2899999999999636,1.6500000000005457
utc_day,earlier,1.5,300,short,1,0,0.0,0.0,0.4500000000007276,1.0299999999997451
utc_day,earlier,1.5,900,long,10,0,0.0,0.3,-0.08500000000003635,1.0650000000000546
utc_day,earlier,1.5,900,short,4,0,0.0,0.0,-0.474999999999909,1.3949999999999818
utc_day,earlier,2.0,60,long,0,0,,,,
utc_day,earlier,2.0,60,short,0,0,,,,
utc_day,earlier,2.0,300,long,2,0,0.0,0.0,-0.24000000000023647,3.255000000000109
utc_day,earlier,2.0,300,short,3,0,0.0,0.3333333333333333,-0.3199999999997089,0.8800000000001091
utc_day,earlier,2.0,900,long,7,0,0.0,0.0,-0.1900000000005093,1.0
utc_day,earlier,2.0,900,short,5,0,0.0,0.4,-0.0700000000006184,0.3799999999991996
utc_day,later,0.0,60,long,32,3,0.09375,0.34375,0.08500000000003635,0.5450000000000728
utc_day,later,0.0,60,short,33,2,0.06060606060606061,0.18181818181818182,-0.1699999999991632,0.7200000000002547
utc_day,later,0.0,300,long,32,4,0.125,0.40625,0.11500000000023644,0.5300000000002001
utc_day,later,0.0,300,short,40,4,0.1,0.275,-0.0250000000005457,0.8949999999999818
utc_day,later,0.0,900,long,27,4,0.14814814814814814,0.4444444444444444,0.1599999999998544,0.4899999999997817
utc_day,later,0.0,900,short,40,3,0.075,0.275,0.03999999999996355,0.875
utc_day,later,0.5,60,long,4,0,0.0,0.5,0.19000000000050934,0.4149999999999636
utc_day,later,0.5,60,short,1,0,0.0,0.0,0.2700000000004365,0.269999999999527
utc_day,later,0.5,300,long,9,1,0.1111111111111111,0.4444444444444444,0.0799999999999272,0.5399999999999636
utc_day,later,0.5,300,short,8,0,0.0,0.25,0.3350000000000364,0.7599999999997635
utc_day,later,0.5,900,long,17,3,0.17647058823529413,0.5294117647058824,0.4000000000005457,0.6300000000001091
utc_day,later,0.5,900,short,9,0,0.0,0.3333333333333333,0.2700000000004365,0.6900000000005093
utc_day,later,1.0,60,long,1,0,0.0,0.0,-0.019999999999527,0.8099999999994907
utc_day,later,1.0,60,short,1,0,0.0,0.0,-0.089999999999236,0.4699999999993451
utc_day,later,1.0,300,long,1,0,0.0,0.0,-0.019999999999527,0.8099999999994907
utc_day,later,1.0,300,short,2,1,0.5,0.5,2.1950000000001637,0.48500000000012733
utc_day,later,1.0,900,long,7,0,0.0,0.42857142857142855,0.4799999999995634,0.8099999999994907
utc_day,later,1.0,900,short,4,1,0.25,0.25,0.9200000000005275,0.7449999999998909
utc_day,later,1.5,60,long,0,0,,,,
utc_day,later,1.5,60,short,0,0,,,,
utc_day,later,1.5,300,long,2,0,0.0,0.0,-0.2999999999997271,1.2699999999999818
utc_day,later,1.5,300,short,1,0,0.0,0.0,0.5799999999999272,1.8800000000001087
utc_day,later,1.5,900,long,4,1,0.25,0.25,-0.2999999999997271,1.2150000000001455
utc_day,later,1.5,900,short,4,0,0.0,0.25,0.2449999999998909,0.49499999999989086
utc_day,later,2.0,60,long,0,0,,,,
utc_day,later,2.0,60,short,0,0,,,,
utc_day,later,2.0,300,long,1,0,0.0,0.0,-0.4399999999995998,1.680000000000291
utc_day,later,2.0,300,short,0,0,,,,
utc_day,later,2.0,900,long,3,0,0.0,0.0,-0.0600000000004001,0.6000000000003638
utc_day,later,2.0,900,short,1,0,0.0,0.0,-0.1699999999991632,0.4799999999995634
