day,initial_sequence,initial_tick_id,initial_timestamp_utc,initial_side,reversal_triggered,reversal_tick_id,reversal_timestamp_utc,reversal_side,initial_realized_loss,reversal_entry,double_recovered,double_recovery_seconds,single_recovered,single_recovery_seconds,max_adverse_before_scale_down,double_max_favorable,scaled_pnl_60,scaled_pnl_300
2026-01-19,1,26632053,2026-01-19T09:58:29+00:00,long,False,,,,,,,,,,,,,
2026-01-19,2,26640222,2026-01-19T10:55:26+00:00,short,False,,,,,,,,,,,,,
2026-01-19,3,26643094,2026-01-19T11:17:09+00:00,long,True,26643195.0,2026-01-19T11:18:00+00:00,short,-0.3100000000004002,4663.61,True,25.138,True,26.159,-1.6900000000014188,2.9899999999988722,0.6199999999989814,0.4999999999990905
2026-01-19,4,26664300,2026-01-19T13:24:43+00:00,long,False,,,,,,,,,,,,,
2026-01-19,5,26697112,2026-01-19T17:07:00+00:00,long,True,26697183.0,2026-01-19T17:07:43+00:00,short,-0.6999999999998181,4672.03,True,109.505,True,110.034,-2.2200000000002547,1.9600000000000364,-1.0399999999999636,0.42999999999938154
2026-01-19,6,26700732,2026-01-19T17:34:37+00:00,short,False,,,,,,,,,,,,,
2026-01-19,7,26709202,2026-01-19T18:37:29+00:00,long,False,,,,,,,,,,,,,
2026-01-19,8,26710762,2026-01-19T18:51:56+00:00,long,False,,,,,,,,,,,,,
2026-01-20,1,26724689,2026-01-20T00:12:09+00:00,short,False,,,,,,,,,,,,,
2026-01-20,2,26731368,2026-01-20T00:59:38+00:00,long,True,26731372.0,2026-01-20T00:59:41+00:00,short,-0.9899999999997817,4661.18,True,19.776,False,,-2.0499999999992724,0.930000000000291,-2.1899999999996,-6.959999999999127
2026-01-20,3,26742259,2026-01-20T01:55:31+00:00,long,False,,,,,,,,,,,,,
2026-01-20,4,26747896,2026-01-20T02:26:28+00:00,short,True,26748060.0,2026-01-20T02:27:24+00:00,long,-1.1599999999998545,4671.23,True,21.308,True,51.988,-1.499999999998181,4.680000000000291,1.0600000000013097,1.3600000000014916
2026-01-20,5,26751940,2026-01-20T02:48:20+00:00,long,False,,,,,,,,,,,,,
2026-01-20,6,26793062,2026-01-20T06:27:49+00:00,long,False,,,,,,,,,,,,,
2026-01-20,7,26818729,2026-01-20T08:43:52+00:00,short,True,26818834.0,2026-01-20T08:44:25+00:00,long,-0.4099999999998545,4722.94,True,14.0,True,35.493,-1.389999999999418,4.210000000000946,0.5400000000008731,1.2800000000015643
2026-01-20,8,26863148,2026-01-20T12:54:47+00:00,short,True,26863158.0,2026-01-20T12:54:51+00:00,long,-0.7699999999995271,4728.73,True,131.824,False,,-2.549999999998363,0.2900000000017826,-1.3899999999985084,-1.0699999999987995
2026-01-20,9,26923906,2026-01-20T17:41:51+00:00,long,False,,,,,,,,,,,,,
